English,Spanish
disconsolate,desconsolado
discontent,descontento
discontented,descontento
discontinuation,descontinuación
discontinue,retirar
discord,"discordia, desencuentro"
discord,discordia
Discordianism,discordianismo
discotheque,discoteca
discount,"descuento, rebaja"
discourage,descorazonar acobardar
discourage,"desalentar, persuadir, disuadir"
discourse,discurso
discourse,"discurso, conversación"
discourse,disertar
discourteous,descortés
discover,"descubrir, destapar"
discover,descubrir
discoverer,descubridor
discovery,"descubrimiento, hallazgo"
discovery,descubrimiento
discredit,"desacreditar, descreer"
discredit,descrédito
discreditor,desacreditador
discreet,discreto
discreetly,disimuladamente
discrepancy,discrepancia
discrete,discreto
discretely,discretamente
discreteness,discreticidad
discrete variable,variable discreta
discretion,discreción
discretionary,discrecional
discriminant,determinante
discriminate,discriminar
discrimination,discriminación
discursion,"digresión, rodeo"
discursion,vagabundeo
discursion,discursión
discursive,discursivo
discus,disco
discuss,"discutir, conversar"
discussion,discusión
discus throw,lanzamiento de disco
disdain,"desdén, desprecio, desdeño"
disdain,"desdeñar, despreciar"
disdainful,"desdeñoso, displicente"
disdainfully,desdeñosamente
disease,"enfermedad, dolencia"
disembark,desembarcar
disembarkation,"desembarque, desembarco"
disembowel,"desentrañar, destripar"
disenamour,desenamorar
disenchantment,desengaño
disenfranchised,proscrito
disengage,"desenganchar, desatar, liberar, retirar, desacoplar, desasir, cesar (el contacto), desembragar, cortar el contacto, terminar (el contacto), finalizar (el contacto), acabar (el contacto)"
disentangle,desenredar
disequilibrium,desequilibrio
disfigure,desfigurar
disgrace,desgracia
disgrace,baldón
disgrace,deshonrar
disgraceful,"vergonzoso, deshonroso, escandaloso, ignominioso"
disgruntled,"insatisfecho, frustrado"
disguise,disfraz
disguise,"pantalla, tapadera"
disguise,disfrazar
disgust,"repugnar, dar asco, asquear"
disgust,"asco, repugnancia, desazón, repulsa"
disgusting,"asqueroso, repulsivo, nauseabundo, despreciable, repugnante, estomagante, asqueante, asquiente"
disgustingly,asquerosamente
dish,vajilla
dish,plato
dish,"plato, platillo"
dish,"vajilla, loza"
dish,"parabólica, antena parabólica"
dishcloth,trapo de fregar
dishcloth,paño de cocina
dishearten,"desalentar, descorazonar, desanimar"
dishevel,desordenar
dishevelled,"chascón, despeinado"
dishevelled,"desaseado, descuidado, desordenado"
dishonest,"embustero, mentiroso, deshonesto"
dishonestly,deshonestamente
dishonour,deshonrar
dish out,emplatar
dishware,vajilla
dishwasher,"lavaplatos, lavavajillas"
dishwater,agua de fregar
disillusion,desengañar
disillusion,"desengaño, desencanto"
disillusioned,desilusionado
disillusionment,desilusión
disincarcerate,desincarcerar
disinfect,desinfectar
disinfectant,desinfectante
disinfection,desinfección
disinformation,desinformación
disingenuous,"falso, poco sincero"
disinherit,desheredar
disintegrate,disgregar
disintegrate,desintegrar
disintegration,desintegración
disinter,desenterrar
disinterest,desinterés
disinterested,imparcial
disinterestedly,desinteresadamente
disinterment,desenterramiento
disjointed,"deslavazado, sin trabazón"
disk,disco
disk,disco intervertebral
disk,disco duro
dislike,"aversión, disgusto, antipatía"
dislike,"desagradar, no gustar, tener aversión"
dislocate,desencajar
dislocate,dislocar
dislocation,"luxación, dislocación"
dislodge,desalojar
disloyal,desleal
disloyalty,deslealtad
dismal,estrepitoso
dismal,triste
dismal,deprimente
dismantle,desmantelar
dismast,desarbolar
dismay,"espanto, estupefacción, consternación"
dismayed,compungido
dismember,"descuartizar, desmembrar"
dismemberer,"descuartizador, descuartizadora, desmembrador, desmembradora"
dismiss,"despedir, echar"
dismiss,disipar
dismiss,rechazar
dismount,desmontar
Disneyan,disneyano
Disneyland,Disneylandia
disobedience,desobediencia
disobedient,desobediente
disobey,"desobedecer, desacatar"
disobey,"desobedecer, insubordinarse, indisciplinarse"
disorder,desorden
disorder,"desorden, disturbio, desenfreno"
disorder,"trastorno, desorden"
disordered,desordenado
disorderly,desordenado
disorganization,desorganización
disorganized,desorganizado
disorient,"desorientar, perder el norte"
disown,renegar
disparage,"denigrar, menospreciar"
disparage,desacreditar
disparaging,descalificativo
disparate,"dispar, heterogéneo, variado"
disparity,disparidad
dispatch,despachar
dispatch,privar
dispatch,despacharse
dispatch,"despacho, envío urgente"
dispatch,"envío, despacho, comunicado"
dispatcher,despachador
dispel,disipar
dispensable,prescindible
disperse,dispersar
displace,"desahuciar, desplazar, desterrar"
displace,"desplazar, reprimir [psycology]"
displaced person,persona desplazada
displacement,desplazamiento
displacement current,corriente de desplazamiento
display,"espectáculo, exposición"
display,monitor
display,"exhibir, mostrar, presentar"
displeasure,disgusto
displeasure,desazón
disposable,desechable
disposable,disponible
disposal,desecho
dispose,deshacerse
disposition,inclinación
disposition,"temperamento, carácter"
disproportion,desproporción
disproportionate,desproporcionado
disproportionation,dismutación
disputable,disputable
dispute,"disputa, contencioso"
disqualification,descalificación
disqualify,descalificar
disquiet,inquietud
disquiet,inquietar
disquieting,preocupante
disquietness,desazón
disquietude,"ansia, inquietud, angustia, ansiedad"
disquietude,congoja
disquisition,disquisición
disregard,"descuidar, desatender"
disregard,ignorar
disrespect,"falta de respeto, irrespeto"
disrespect,"ningunear, irrespetar, tomar por el pito del sereno"
disrespectful,irrespetuoso
disrobe,desvestirse
disrupt,"perturbar, trastornar, desorganizar"
disrupt,interrumpir
disruption,"quebranto, incidente, ruptura, interrupción"
disruption,"desorden, desorganización, desarreglo"
disruptive,"perturbante, disruptivo [used in science]"
diss,"insultar, humillar, denostar"
diss,"insulto, improperio"
dissatisfaction,"descontento, malcontento, disgusto, malestar, insatisfacción"
dissatisfied,"descontento, malcontento, insatisfecho"
dissatisfied,insatisfecho
dissect,"disecar, diseccionar"
dissect,diseccionar
dissect,disecar
dissection,disección
dissemble,disimular
dissemble,fingir
dissemination,"diseminación, difusión, divulgación, propagación"
dissent,"discrepar, disentir"
dissent,"disenso, disentimiento"
dissent,"disconformidad, desacuerdo, disensión"
dissertation,disertación
disservice,flaco favor
dissident,disidente
dissimilar,"desemejante, disímil"
dissimilarity,"desemejanza, disimilitud"
dissipation,disipación
dissociate,"distanciarse, desmarcarse"
dissolute,"disoluto, perdulario"
dissolution,"disolución, desintegración"
dissolution,disolución
dissolve,disolver
dissonant,disonante
diss track,tiraera
dissuade,disuadir
dissuasion,disuasión
dissuasive,"disuasivo, disuasorio"
distaff,rueca
distal,distal
distance,distancia
distance,lejanía
distance,"distanciarse, alejarse"
distance learning,"educación a distancia (distance education), enseñanza a distancia (distance teaching)"
distancing,distanciamiento
distant,"distante, a distancia, huraño"
distant,distante
distasteful,de mal gusto
distasteful,desagradable
distasteful,"chocante, ofensivo"
distil,"alambicar, destilar"
distillation,destilación
distillation,destilado
distilled water,agua destilada
distillery,destilería
distinct,distinto
distinction,distinción
distinctive,"distintivo, definitorio, característico"
distinctly,distintamente
distingue,distinguido
distinguish,distinguir
distinguishable,distinguible
distinguished,distinguido
distort,"deformar, distorsionar"
distort,deformar
distort,"tergiversar, distorsionar, desvirtuar"
distorting,"deformante, distorsionador"
distortion,distorsión
distract,"distraer, despistar"
distracted,distraído
distraction,distracción
distraction,locura
distraint,embargo
distraught,"perturbado, trastornado, destrozado, deshecho, afligido"
distress,"aflicción, angustia, desasosiego, ansiedad, sinvivir"
distress,"peligro, apuro, aprieto, angustia"
distress,"inconforme, en serio peligro"
distressed,"temeroso (de), atribulado"
distressed,dañado
distressed,"rematado, subastado"
distressed,"gastado, maltratado, deslucido"
distribute,distribuir
distribute,"repartir, distribuir"
distribution,distribución
distributor,distribuidor
district,distrito
district attorney,"fiscal, procurador, procuradora"
district heating,calefacción urbana
distrust,"desconfianza, recelo"
distrust,desconfiar
distrustful,"desconfiado, receloso"
disturb,"perturbar, molestar"
disturbance,"disturbio, estorbo, perturbación"
disturbance,"estorbo, perturbación"
disturbance,perturbación
disturbance,"perturbación, trastorno"
disturbed,trastornado
disturbing,"inquietante, perturbador, asombrante"
disulfide,disulfuro
disuse,desuso
disused,desusado
disyllabic,"bisílabo, bisilábico, disílabo, disilábico"
disyllabic,bisílabo
ditch,"surco, zanja, trinchera, acequia, cuneta"
ditch,"dejar, abandonar"
ditransitive,ditransitivo
ditto,ídem
ditty,cancioneta
diuresis,diuresis
diuretic,diurético
diurnal,diurno
diva,diva
divan,diván
dive,bucear
dive,"hacer un clavado, zambullirse"
dive,descender
dive,tirarse a la piscina
dive,"clavado, zambullida, piscinazo"
dive,buceo
dive,antro
dive,"piscinazo, piletazo"
dive bomber,bombardero en picado
diver,"saltador, saltadora (jumping), buzo (underwater diver), submarinista"
diverge,divergir
divergent,divergente
diverse,diverso
diverse,diferente
diversification,diversificación
diversion,"distracción, diversión"
diversion,distracción
diversion,desviación
diversity,diversidad
divert,desviar
divert,"entretener, distraer, desviar"
divert,distraer
diverticulitis,diverticulitis
diverticulosis,diverticulosis
diverticulum,divertículo
divertimento,divertimento
divest,privar
divestment,desinversión
divide,"desunir, dividir"
divide,"dividir, repartir"
divide,dividir
divide,desunir
divide,división
divide,divisoria
divide and conquer,"divide y conquista, divide y vencerás"
dividend,dividendo
divider,separador
divination,"adivinación, divinación, sortilegio"
divination,divinidad
divine,divino
divine,adivinar
diving,"buceo, submarinismo"
diving bell spider,araña de agua
divinity,"deidad, divinidad"
divisibility,divisibilidad
divisible,divisible
division,división
division,parte
division of labour,división del trabajo
divisive,divisivo
divisor,divisor
divorcé,divorciado
divorce,divorcio
divorce,divorciar
divorce,divorciarse
divorced,divorciado
divorcee,"divorciado, divorciada"
divot,chuleta
divulge,propalar
Diwali,"Diwali, Divali, festival de las luces"
DIY,"hazlo tú mismo, hágalo usted mismo"
DIY,hazlo tú mismo
dizygotic,dicigótico
dizziness,"mareo, vértigo"
dizzy,"mareado, vertiginoso"
dizzy,"mareador, vertiginoso"
djellaba,chilaba
Djibouti,Yibuti
Djiboutian,yibutiano
déjà vu,déjà vu
DNA,ADN
Dönmeh,Dönmeh
dénouement,desenlace
do,Not used in Spanish
do,sí
do,hacer
do,valer
do,"coger, culear, joder"
do,do
do a bunk,largarse
do as I say and not as I do,consejos vendo y para mí no tengo
do away with,"desechar, deshacerse de"
dobbin,"ruco [Latin America], matalón"
dobra,dobra
Dobruja,Dobruja
docile,dócil
docility,docilidad
dock,"descolar, desrabar, desrabotar"
dock,"puerto, muelle"
dock,dársena
dock,acoplamiento
dock,banquillo
dockyard,astillero
docosanol,docosanol
doctor,"doctor, doctora"
doctor,doctor
doctor,doctorar
doctor,adulterar
doctoral thesis,tesis doctoral
doctorate,doctorado
Doctor of Philosophy,doctor en filosofía
doctrinal,doctrinal
doctrine,doctrina
document,"documento, pliego"
document,"anotar, registrar"
documentary,"documental, documentario"
documentary,documental
documentation,documentación
docuseries,docuserie
dodder,cuscuta
dodecagon,dodecágono
dodecagonal,dodecágono
dodecahedron,dodecaedro
Dodecanese,Dodecaneso
dodecaphonic,dodecafónico
dodecaphony,dodecafonismo
dodge,"evadir, esquivar"
dodge,"evadir, esquivar, capear"
dodge,esquivar
dodgeball,balón prisionero
dodgy,chungo
dodgy,"deshonesto, chungo"
dodgy,"extraño, raro"
dodo,"dodo, dronte"
Dodoma,Dodoma
doe,cierva
doe,cabra
doe,coneja
doe,ardilla
doe,"venada, hembra del antílope"
does a bear shit in the woods,"blanca y en botella, leche"
does anyone here speak English,¿hay alguien aquí que hable inglés?
do for,hacer por
dog,perseguir
dog,perro
dogcatcher,perrero
dog collar,collar
dog collar,alzacuellos
dog days,canícula
doge,"dux, dogo"
dog-eared,manoseado
dog food,"comida para perros, comida de perro"
dogged,"obstinado, tenaz, perseverante"
doggedly,"tenazmente, obstinadamente, tercamente"
doggy,perrito
doggy style,de perrito
dog in the manger,"ni come, ni deja comer, el perro del hortelano"
dog Latin,"latín macarrónico, latinajo"
dogma,dogma
dogmatic,dogmático
dogmatically,dogmáticamente
dogmatism,dogmatismo
Dogo Argentino,dogo argentino
do-gooder,buenista
do-goodism,buenismo
dog pound,perrera
dogsbody,mandado
dog's life,vida de perros
dogtooth tuna,casarte ojón
dogwood,cornejo
d'oh,ouh
Doha,Doha
Doñihue,Doñihue
do I know you,¿te conozco?
do it yourself,bricolaje
dojo,dojo
do justice,hacer justicia
dolce far niente,dolce far niente
dolce vita,dolce vita
doleful,"triste, cabizbajo, lúgubre"
dolichocephaly,dolicocefalia
doll,"muñeca, muñeco"
dollar,dólar
dollar diplomacy,diplomacia del dólar
dollarization,dolarización
doll's house,casa de muñecas
doll up,emperifollar
dolmen,dolmen
dolomite,dolomita
Dolomites,Dolomitas
dolor,dolor
Dolores,Dolores
dolorous,doloroso
dolostone,dolomía
dolphin,delfín
dolphin,duque de Alba
dolphinarium,delfinario
dolt,estúpido
domain,dominio
domain,esfera
Dombey's beech,"coigüe, coigue, coihue"
dome,"cúpula, domo"
Dome of the Rock,"Domo de la Roca, Cúpula de la Roca"
domestic,doméstico
domestic,nacional
domestic,"empleada doméstica, empleada"
domestic,malos tratos
domesticate,domesticar
domesticated,"amaestrado, adiestrado"
domestication,domesticación
domestic cat,gato doméstico
domestic debt,deuda interna
domesticity,domesticidad
domestic partnership,pareja de hecho
domestic policy,política interna
domestic violence,"violencia de género, violencia intrafamiliar, violencia doméstica, [Spain] malos tratos"
domestique,gregario
domicile,domicilio
dominant,"dominante, imperante"
dominate,dominar
Dominic,Domingo
Dominica,Dominica
Dominican,dominicano
Dominican,"dominiqués, dominiquesa"
Dominican,"dominicano, dominicana"
Dominican,dominiqués
Dominicanism,dominicanismo
Dominican Republic,República Dominicana
dominion,dominio
domino,dominó
domino effect,efecto dominó
dominoes,dominó
Domodedovo,Domodédovo
domotics,domótica
domovoy,"domovoi, domovói, maltor"
don,"ponerse, vestirse de"
Donald,Donaldo
Donald Duck,Pato Donald
donate,donar
donation,"donación, donativo"
Donatism,donatismo
done,"listo, acabado"
done,"terminado, hecho"
done,acabado
Donetsk,Donetsk
Donetsk People's Republic,República Popular de Donetsk
dongle,dongle
Don Juan,"Don Juan, donjuán"
donkey,"asno, burro, jumento"
donkey,burro
donkey,"locomotora pequeña, motor auxiliar"
Donner,Trueno
Donohue syndrome,"síndrome de Donohue, leprechaunismo"
donor,"donador, donante"
do not disturb,no molestar
do not enter,no entre
Don Quixote,Don Quijote
don't,no
don't count your chickens before they're hatched,"no vendas la piel del oso antes de cazarlo, hasta el rabo, todo es toro"
don't go there,ni hablar
don't hold your breath,espera sentado
don't let the door hit you on the way out,cierra la puerta al salir
don't look a gift horse in the mouth,"a caballo regalado no se le miran los dientes, a caballo regalado no le mires el diente, a caballo regalado, no le mires el dentado, a caballo regalado, no le mires el diente, a caballo regalado, no se le ve el colmillo"
don't mention it,"de nada, por nada, no hay de qué"
don't put all your eggs in one basket,no hay que poner todos los huevos en una sola canasta
don't shit where you eat,donde tengas la olla no metas la polla
don't shoot the messenger,"no disparen al mensajero, no maten al mensajero"
don't try to teach grandma how to suck eggs,no intentes dar clases a tu maestro
don't worry,"descuida [informal], no te preocupes [informal], pierde cuidado"
doodle,"garabato, garrapato, monigote, garabateo"
doodle,garabatear
doom,condenar
doomed,condenado
doomsayer,"agorero, catastrofista"
doomsday,"día del Juicio Final, apocalipsis, armagedón"
do one's bit,arrimar el hombro
door,puerta
doorbell,timbre
doorbuster,puertazo
door chain,cadena de puerta
do-or-die,a matar o morir
door handle,"manilla, manija, pomo, perilla"
doorjamb,dintel
doorknob,"perilla, pomo, pomo de la puerta"
doorknocker,"aldaba, picaporte"
doorman,portero
doormat,felpudo
door seal,"junta, burlete"
doorstep,umbral
door to door,de puerta en puerta
doorway,entrada
doorwoman,portera
dopamine,dopamina
dopaminergic,dopaminérgico
dope,dopar
dope,dopar [intransitive]
doping,"doping, dopaje"
doppelganger,otro yo
doppelganger,gemelo malvado
doppelganger,sosias
Doppler effect,efecto Doppler
Dorado,Dorado
dorama,dorama
Dordogne,Dordoña
Dorian,"dorio, doria"
Doric,dórico
dormant,latente
dormant volcano,volcán apagado
dormer-window,buhardilla
dormitive virtue,virtud dormitiva
dormitory,dormitorio
dormitory,"residencia estudiantil, dormitorio"
dormouse,lirón
Dorothy,Dorotea
dorsal,dorsal
dorsal fin,aleta dorsal
Dorset,Dorset
dorsoventral,dorsoventral
dorsoventrally,dorsoventralmente
dorveille,duermevela
dosage,posología
dose,dosis
Dos Hermanas,Dos Hermanas
dosimeter,dosímetro
doss-house,albergue
dossier,"dosier, expediente, archivo"
dot,punto
dotage,senilidad
dotard,decrépito
dote,amoroso
do the dishes,fregar los platos
do the laundry,hacer la colada
do the math,"sacar la cuenta, hacer números, echar números"
do the right thing,hacer lo correcto
dot matrix,matriz de puntos
dot matrix printer,impresora matricial
dotted,punteado
dotterel,chorlito carambolo
dot the i's and cross the t's,poner los puntos sobre las íes
double,doble
double,"doblado, bicapa"
double,"encorvado, doblado"
double,"doble, sosias"
double,"duplicar, doblar"
double,doblar
double,apretar
double,emparejar
double,duplicar
double,hacer las veces de
double,"doblar, torcer"
double,circunnavegar
double,"ser doble de, hacer de doble de"
double,duplicar la velocidad
double,"duplicar, acumular doblemente"
double act,"dúo cómico, duetistas"
double agent,agente doble
double-barrelled shotgun,escopeta de dos cañones
double bass,contrabajo
double bass,bajo profundo
double bed,cama de matrimonio
double-blind test,experimento a doble ciego
double chin,papada
double-click,doble clic
double-click,hacer doble clic
double-decker,autobús de dos pisos
double-digit,de dos dígitos
double-dip,barquillo doble
double doors,puertas dobles
double-edged,de doble filo
double-edged sword,"arma de doble filo [a double-edged weapon], arma de dos filos [a two-edged weapon]"
double entendre,"doble sentido, albur (Mexico and Dominican Republic)"
double life,doble vida
double-park,"estacionar en doble fila, aparcar en doble fila"
double penetration,doble penetración
double room,habitación doble
double sheet bend,vuelta de escota doble
double standard,"doble estándar, ley del embudo"
double star,estrella doble
doublet,"pareja, doblete"
doublet,doblete
doublet,jubón
doublethink,doblepensar
double trap,doble foso
double-u,"doble ve, uve doble"
doubloon,doblón
doubly,doblemente
doubt,dudar
doubt,"duda, incertidumbre"
doubtful,dudoso
doubtfully,dudosamente
doubting Thomas,Tomás el incrédulo
doubtless,"indudable, sin duda"
doubtless,indudablemente
douche,ducha
douche,jeringa
douchebag,"huevón, gilipollas, cretino, pendejo, idiota"
dough,"masa, pasta"
dough,"pasta, guita, plata, mosca, lana, tela, cuartos, parné"
doughnut,"dona, rosquilla, anillo, dónut"
Douglas berry,"zarza douglas, zarza de California, zarza californiana, californianas"
doula,doula
doum palm,palmera dum
dour,"severo, austero, duro, rigorista, riguroso"
dour,"rígido, inflexible, obstinado, terco, despiadado"
dour,"lúgubre, taciturno, melancólico"
Douro,Duero
douse,"apagar, extinguir"
dove,"paloma, pichón [dove's chick]"
dovecote,palomar
dove grey,gris perla
dovetail,"cola de milano, cola de pato"
dovetail,machihembrar
dovish,columbino
dowager,viuda
dowager,dama
dowdy,desaliñado
dowel,"clavija, taco, espiga"
do without,"apañarse, arreglárselas, ingeniárselas"
down,abajo
down,vertical
down,por
down,deprimido
down,plumón
down,"vello, lanugo, lanugo"
down and out,muerto de hambre
downcast,"alicaído, abatido"
downfall,"ocaso, declive, decaimiento, decadencia"
downgrade,degradar
downhill,"descenso, prueba de descenso"
down in the dumps,"en horas bajas, de bajón, murrio [colloquial]"
down in the mouth,cariacontecido
download,"descarga, transferencia directa"
download,"descargar, bajar"
downloadable,descargable
down payment,"[Spain] entrada, [Bolivia, Colombia, Ecuador, Peru] cuota inicial, [Chile] pie, [Costa Rica, El Salvador, Nicaragua] prima, [Guatemala, Mexico] enganche, [Argentina] boleto, [Panama] abono inicial, [Puerto Rico] pronto pago, [Venezuela] inicial"
downpipe,bajante
downplay,"minimizar, quitar hierro"
downpour,"chaparrón, aguacero, chubasco, [Venezuela] palo de agua"
down quark,quark abajo
downside,inconveniente
downsize,"hacer recortes de personal, hacer recortes de plantilla, reajustar la plantilla"
downsizing,"recorte de personal, recorte de plantilla, recorte de nómina, reducción de plantilla"
downspout,bajante
downstairs,abajo
downstream,corriente abajo
Down syndrome,síndrome de Down
down-to-earth,con los pies en la tierra
downtown,"centro, centro de ciudad"
downtrodden,oprimido
downtrodden,pisoteado
downturn,bajón
down with,abajo
dowry,dote
dowser,"zahorí, rabdomante"
doxology,doxología
doxycycline,doxiciclina
do you accept American dollars,¿aceptan dólares americanos?
do you accept credit cards,"¿aceptan tarjetas de crédito?, ¿acepta tarjetas de crédito?, ¿aceptas tarjetas de crédito?"
do you believe in God,¿crees en Dios?
do you have a boyfriend,¿tienes novio? [informal]
do you have a girlfriend,tienes novia [informal]
do you have a menu in English,¿hay un menú en inglés?
do you have any brothers or sisters,"[formal] ¿tiene hermanos?, [informal] ¿tienes hermanos?"
do you have any pets,"¿tiene algún animal de compañía?, ¿tiene alguna mascota?"
do you have children,"[formal] ¿tiene hijos?, [informal] ¿tienes hijos?"
do you have Wi-Fi,"¿tienes Wi-Fi?, ¿tenéis Wi-Fi?"
do you know,"¿sabe usted?, ¿sabes? [informal]"
do you need help,"¿necesita usted ayuda?, ¿necesitas ayuda?"
do you need to use the bathroom,¿necesitas usar el baño?
do you speak English,"¿hablas inglés? [informal], ¿habla inglés? [formal]"
do you speak English,"¿hablas español? [informal], ¿habla español? [formal]"
do you think you can walk,¿crees que puedes andar?
doze,"dormitar, cabecear"
dozen,docena
dozen,decenas
doze off,"adormecerse, cabecear, quedarse traspuesto [colloquial]"
dozy,adormecido
DPRK,RPDC
Dr,"Dr., Dra"
drachma,dracma
Draco,Draco
draconian,draconiano
Dracula,Drácula
draft,"corriente, corriente de aire"
draft,trago
draft,cerveza de barril
draft,calado
draft,borrador
draft,"borrador, esbozo, anteproyecto"
draft,trata
draft,"reclutamiento, leva, conscripción"
draft,tiro
draft,esbozar
draft,reclutar
draft,"de grifo, de baril"
draftee,"recluta, conscripto"
drafting,dibujo técnico
drag,resistencia
drag,"bocanada, calada"
drag,arrastrar
dragline excavator,dragalina
dragnet,"red barredera, red de arrastre"
dragnet,redada
dragoman,"dragomán, truchimán"
dragon,"dragón, guiverno (heraldic dragon)"
dragon boat,barco dragón
drag one's feet,marear la perdiz
dragonfly,"libélula, aguacil [Argentina, Uruguay], pipilacha [Nicaragua]"
dragon fruit,pitahaya
dragon's blood,sangre del dragón
dragonwort,"dragontea, zumillo, dragoneta"
dragoon,dragón
dragoon,presionar
drag queen,"drag queen, transformista"
drag through the mud,dejar a la altura del betún
drain,"desagüe, drenaje"
drain,aliviadero
drain,"tubo abierto, sangría"
drain,"drenar, perder"
drain,desaguar
drain,"desaguar, desecar"
drain,agotar
drainage,drenaje
drainage basin,"cuenca hidrográfica, cuenca"
drainage system,red de drenaje
drake,pato
drama,"drama, obra teatral"
drama,drama
drama queen,"dramático, dramática, teatrero, teatrera"
dramatic,dramático
dramatic,asombroso
dramatically,dramáticamente
dramatism,dramatismo
dramatization,dramatización
dramaturge,dramaturgo
drape,"cubrir, colocar, acomodar"
drapery,cortina
drapes,cortinas
drastic,drástico
drastically,drásticamente
drat,maldecir
draught,dama
draught animal,animal de carga
draught excluder,burlete
draughts,damas
draughtsman,delineante
Dravidian,drávido
draw,dibujar
draw,"desenvainar, desenfundar, sacar"
draw,"extraer, sacar"
draw,"inferir, deducir"
draw,confiar
draw,empatar
draw,sacar
draw,empate
draw,proyecto
draw attention,llamar la atención
draw attention to,llamar la atención
drawback,"desventaja, pega"
drawback,"reintegro, drawback [anglicism]"
drawbridge,puente levadizo
drawer,"cajón, gaveta [Cuba, Spain's Canary Islands, Venezuela]"
drawer,dibujante
drawer,girador
drawers,[1] cajones
drawing,"dibujo, esquema, croquis"
drawing,dibujar
drawing,dibujo
drawing,"sorteo, rifa"
drawing room,salón
draw on,recurrir a
draw out,sonsacar
draw the short straw,bailar con la más fea
draw up,redactar
draw up,formar
draw up,detener
draw up,"detenerse, pararse"
dray,"carreta, carretón"
dread,temer
dread,"pavor, temor"
dreaded,temido
dreadful,"espantoso, espantosa"
dreadlocks,"trenzas africanas, rastas"
dream,"sueño, ensueño"
dream,sueño
dream,soñar
dreamcatcher,"atrapasueños, cazador de sueños"
dream come true,sueño hecho realidad
dreamer,"soñador, soñadora"
dreamer,"visionario, visionaria"
dreamland,país de los sueños
dreamworld,mundo de los sueños
dreary,"aburrido, triste"
dredge,draga
dredge,dragar
dreg,"heces, hez"
dreg,hez
dregs,"poso, concho, hez, depósito"
dregs,"escoria, mugre, hez"
dreidel,dreidel
drench,empapar
drenched,empapado
Dresden,Dresde
dress,vestir
dress,vestirse
dress,"vestido, traje"
dress,"ropa, vestimenta"
dressage,"adiestramiento, entrenamiento"
dressage,"adiestramiento, doma clásica"
dress code,código de vestimenta
dressed to kill,de punta en blanco
dressed to the nines,"de punta en blanco, hecho un brazo de mar, de tiros largos, de oro y azul"
dresser,cómoda
dressing,"vendaje, tirita, cura, curita ; apósito"
dressing,"salsa, vinagreta, aderezo"
dressing,vestirse
dressing gown,"batín, bata"
dressing room,camerino
dressing table,"tocador, cómoda"
dress rehearsal,ensayo general
dress shoe,zapato de vestir
dress up,"ponerse bonito, embellecer"
dribble,babear
dribble,gotear
dribble,"regatear, gambetear, driblar, driblear"
dribble,"regate, gambeta"
dried fruit,fruta seca
drift,"deriva, derrape"
drift,"ir a la deriva, vagar"
drift,derivar
drift,"errar, ir a la deriva"
drift apart,distanciarse
drifter,trotamundo
drill,perforar
drill,entrenar
drill,repetir
drill,averiguar
drill,"taladro, taladradora"
drill,"repetición, simulacro"
drill,dril
drill bit,broca
drink,"beber, tomar [Latin America]"
drink,"beber, tomar [especially Latin America]"
drink,bebida
drink,"trago, copa, chínguere, alipús"
drink,beber
drinkable,"potable, bebedizo"
drink-driver,"conductor bebido, conductora bebida, conductor borracho, conductora borracha, conductor ebrio, conductora ebria"
drinker,"bebedor, bebedora"
drinking,"escabio [Latin America, colloquial]"
drinking-bout,"ebriedad, borrachera, escabio [Latin America, colloquial]"
drinking fountain,"fuente de beber, bebedero"
drinking game,juego de beber
drinking horn,cuerna
drinking straw,"[Cuba] absorbente, [Argentina, Bolivia, Chile] bombilla, [Dominican Republic] calimete, [Northeastern Spain] caña, [Northwestern Argentina, Spain’s Canary Islands] cañita, [Panama] carrizo, [Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua] pajilla, [Argentina, Chile, Spain standard usage, Uruguay] pajita, [Colombia, Venezuela] pitillo, [Mexico] popote, [Argentina, Ecuador, Peru] sorbete, [Dominican Republic, Puerto Rico] sorbeto"
drinking water,agua potable
drip,gotear
drip,escurrir
drip,instilar
drip,goteo
drip,aburro
drip,"goteo, suero"
dripping,chorreo
drive,"empuje, impulso"
drive,pulsión
drive,conducir
drive,"conducir, guiar [Puerto Rico], manejar [Latin America, Philippines]"
drive,"llevar, motivar"
drive,volver
drive,"conducir [primarily Spain], manejar [Latin America], guiar [Puerto Rico, Canary Islands], ir en coche/carro/auto"
drive away,"correr, ahuyentar, largar"
drive-in,autocine
drivel,"tonterías, chorradas, babosadas, leseras, macanas, monserga"
drivel,babear
drive-off,"irse sin pagar, hacer un simpa [colloquial]"
driver,"conductor, conductora"
driver,"conductor, conductora, chofer"
driver,controlador
driver,"conductor, manejador [Mexico]"
driver's license,"permiso de conducir, carné de conducir [Spain], registro de conductor [Argentina], licencia de conducir [Lat. Am], libreta de conducir [Uruguay], licencia de manejo [Mexico], brevete [Peru]"
drive someone crazy,"alocar, enloquecer, rayarse"
drive someone crazy,"rayarse, volver loco, enloquecer, traer de cabeza"
drive someone crazy,enloquecer
drive someone up the wall,sacar de sus casillas
driveway,entrada (para coches)
driving,"manejo, conducción"
driving force,"motor, fuerza motriz"
driving school,autoescuela
driving test,"examen de conducir, examen de manejo"
drizzle,"lloviznar, chispear, estar pringando [Mex]"
drizzle,mear
